Address,Stake,Trust,Balance
17hf5H8D6Yc4B7zHEg3orAtKn7Jhme7Adx,552743,75581.31,36000.000
32ixB1aXiwgpHGHo27SMRSULajCdc7jq9Q,2003757,368271.72,35999.965
15HiQkbvQMoAzXyKdQbuCKTGDxTswYBUf5,94999,0.03,2938.784
38qXvWwLDt1BmkV8PxYLLrg4BwJ9Si5GuP,30934,94.34,2925.235
3QkxHL7hrHXCUeVSQ3GxZSjDh4R9XaXJ3W,4710,3188.33,2919.617
1AenFm1zSRkhtPHwZmP2UuRQbWpakD8cVZ,60761,0.03,2917.997
1Lm8nJJDQVCw6sB7SRKw4qW9RC9izDn2Jq,19315,20926.19,2720.002
19fBtWE5KefBXRbPAvgvaBN9t2wbh5dRJX,19279,57986.31,2720.002
1HchsWHmk5jofCkJbV9PXZ4rQUWhDghaY6,19479,40855.71,2720.002
1Nmp8y4GNkyfoYgN1ayWPRPVCic1MoPjmH,8890,2586866.21,2714.785
3KgrwtDYrAZh6NuRQAuD6gRjVFSuVF4hTH,133164,13.60,2000.000
3ESwKQYa5twmcuYZodD61PRSJd21CWDBeC,81051,0.04,2000.000
13yNg5QcCSXZTCVY5VucfqNqm6nQQETXfo,11681,0.04,2000.000
168tSNuyAjgMFVFYDv8KX9GJwrD2gT8qyM,102570,0.67,1570.486
12PDZWMDavwUd6dqGvZQHdELbd6bhtJU4G,3537,0.07,998.000
1kRGFhKhNUMxkef9uu37FQ9BMk8V2Z2Pt,3240,0.07,998.000
16rFCtoZHtjHzUqn8PZMdmbqeqTPEp6ohh,3184,0.07,997.000
1qEdM4npYCf4G3Gc168LVsxeTenPnkoAZ,46724,4179717.90,970.539
1Lo6kVk3DzCzkakDPGD2tuGUbp2gCWuh77,107341,6.12,970.479
1CvjkUTvKWovfmPaAPrLEZTe19AakJrjtY,47274,37425.28,900.010
1HyjXZQUznXJ2QcHoQ2e4t3g2etYJ541jt,4530,0.09,839.999
1CvRKe88MdB5dtdeAqbvpq72XeoqidgLi8,2775,11383.79,627.131
1HjLMY9z7zWcbpXkXXcQQVDCGai2XLdCMe,1909,15577303.850000001,627.003
1KpHWkpG7BGxDuSJKYPYVvNSC6womEZdTu,9063,15683034.969999999,621.972
1H75vZGdG4on1AVzsmVZhXfrwJnZYdRGVZ,3242,0.15,500.000
1LPHcBfkxWFWreAaKCttwMa7nfd4rJxox6,3753,74813.66999999993,447.486
13CwWS7CHq3x1ww6p9Usnz1Qp8v4saKawZ,2997,11799.49,394.541
15EVJQbLh3KVaXgRshhR8pQAJFnFW5p6g8,2026,1542852.35,394.511
17CpydSiixjZWFHAJJvDT8fdygqh2geSpt,10252,41677.84,388.224
19MHCH3EMebK6aPyBSJZv5h6QMqfcRjSzS,5230,2565283.98,336.588
17LPsunWCbPnuMhRgMpx5kFJsSiUnbxuim,1043,18064.91,227.000
